SampleID	AmbientRadiation	Treatment	TreatmentAll	Replicate	HostSex	HostHeadW	HostBodyM	HostSpecies	Study
C207	18.524375	contaminated	contaminated	CH1	male	15.07	29.37	ApodemusFlavicollis	Chernobyl
C208	18.524375	contaminated	contaminated	CH1	female	16.1	42.63	ApodemusFlavicollis	Chernobyl
C209	18.524375	contaminated	contaminated	CH1	male	15.52	32.99	ApodemusFlavicollis	Chernobyl
C210	18.524375	contaminated	contaminated	CH1	male	14.49	30.13	ApodemusFlavicollis	Chernobyl
C212	12.8545	contaminated	contaminated	CH1	female	14.56	34.75	ApodemusFlavicollis	Chernobyl
C213	18.524375	contaminated	contaminated	CH1	male	13.95	36.85	ApodemusFlavicollis	Chernobyl
C217	18.524375	contaminated	contaminated	CH1	male	14.67	29.44	ApodemusFlavicollis	Chernobyl
C219	12.8545	contaminated	contaminated	CH1	female	14.24	32.53	ApodemusFlavicollis	Chernobyl
C229	12.8545	contaminated	contaminated	CH1	female	15.04	42.85	ApodemusFlavicollis	Chernobyl
C230	12.8545	contaminated	contaminated	CH1	female	14.65	34.44	ApodemusFlavicollis	Chernobyl
C231	12.8545	contaminated	contaminated	CH1	male	15.47	37.72	ApodemusFlavicollis	Chernobyl
C232	12.8545	contaminated	contaminated	CH1	male	14.3	35.64	ApodemusFlavicollis	Chernobyl
C238	26.606875	contaminated	contaminated	CH1	male	13.86	37.84	ApodemusFlavicollis	Chernobyl
C256	11	contaminated	contaminated	CH3	male	14.8	38.5	ApodemusFlavicollis	Chernobyl
C260	18.59	contaminated	contaminated	CH3	male	15	34.6	ApodemusFlavicollis	Chernobyl
C261	19	contaminated	contaminated	CH3	male	14.9	38	ApodemusFlavicollis	Chernobyl
C262	19.39	contaminated	contaminated	CH1	male	16.1	41.4	ApodemusFlavicollis	Chernobyl
C264	15	contaminated	contaminated	CH3	female	15.6	45.9	ApodemusFlavicollis	Chernobyl
C266	19	contaminated	contaminated	CH3	female	15.4	36.8	ApodemusFlavicollis	Chernobyl
C269	19	contaminated	contaminated	CH3	male	16.6	46.8	ApodemusFlavicollis	Chernobyl
C270	15	contaminated	contaminated	CH3	male	15.5	38.2	ApodemusFlavicollis	Chernobyl
C272	45.9275	contaminated	contaminated	CH1	female	14	27.8	ApodemusFlavicollis	Chernobyl
C288	17	contaminated	contaminated	CH3	female	15.2	36.7	ApodemusFlavicollis	Chernobyl
C290	11	contaminated	contaminated	CH3	male	14.7	29.1	ApodemusFlavicollis	Chernobyl
C291	18.59	contaminated	contaminated	CH3	female	14.7	30	ApodemusFlavicollis	Chernobyl
C292	18.59	contaminated	contaminated	CH3	male	15.3	44.5	ApodemusFlavicollis	Chernobyl
C293	19	contaminated	contaminated	CH3	male	15.5	43.7	ApodemusFlavicollis	Chernobyl
C294	16.32	contaminated	contaminated	CH3	male	14.9	38.6	ApodemusFlavicollis	Chernobyl
C300	10.6425	contaminated	contaminated	CH1	female	14.46	30.32	ApodemusFlavicollis	Chernobyl
C302	62.19	contaminated	contaminated	CH1	female	12.98	20.38	ApodemusFlavicollis	Chernobyl
C303	45.9275	contaminated	contaminated	CH1	female	14.36	27.95	ApodemusFlavicollis	Chernobyl
C304	62.19	contaminated	contaminated	CH1	female	14.15	26.56	ApodemusFlavicollis	Chernobyl
C305	45.9275	contaminated	contaminated	CH1	male	14.57	32.8	ApodemusFlavicollis	Chernobyl
C307	23.82125	contaminated	contaminated	CH1	female	14.96	38.3	ApodemusFlavicollis	Chernobyl
C311	17	contaminated	contaminated	CH3	male	14.74	33.63	ApodemusFlavicollis	Chernobyl
C312	18.59	contaminated	contaminated	CH3	male	14.75	36.88	ApodemusFlavicollis	Chernobyl
C314	17	contaminated	contaminated	CH3	female	15.59	43.53	ApodemusFlavicollis	Chernobyl
C315	11	contaminated	contaminated	CH3	male	15.14	35.87	ApodemusFlavicollis	Chernobyl
C316	11	contaminated	contaminated	CH3	male	15.18	34.23	ApodemusFlavicollis	Chernobyl
C345	35.05375	contaminated	contaminated	CH1	male	14.17	32.57	ApodemusFlavicollis	Chernobyl
C353	10.06	contaminated	contaminated	CH1	female	14.38	40.93	ApodemusFlavicollis	Chernobyl
C382	24.86	contaminated	contaminated	CH1	female	13.15	20.14	ApodemusFlavicollis	Chernobyl
C140	0.18	uncontaminated	uncontaminated	CL2	female	12.79	29.89	ApodemusSylvaticus	Chernobyl
C142	0.158	uncontaminated	uncontaminated	CL2	male	13.19	24.18	ApodemusSylvaticus	Chernobyl
C175	0.309063	uncontaminated	uncontaminated	CL2	female	13.14	21.19	ApodemusSylvaticus	Chernobyl
C178	0.25325	uncontaminated	uncontaminated	CL2	female	12.48	25.25	ApodemusSylvaticus	Chernobyl
C180	0.266313	uncontaminated	uncontaminated	CL2	male	13.73	22.81	ApodemusSylvaticus	Chernobyl
C182	0.266313	uncontaminated	uncontaminated	CL2	male	13.43	16.28	ApodemusSylvaticus	Chernobyl
C183	0.266313	uncontaminated	uncontaminated	CL2	female	13.02	13.96	ApodemusSylvaticus	Chernobyl
C184	0.266313	uncontaminated	uncontaminated	CL2	female	14.18	17.58	ApodemusSylvaticus	Chernobyl
C224	0.274813	uncontaminated	uncontaminated	CL2	male	12.79	12.04	ApodemusSylvaticus	Chernobyl
C344	0.18	uncontaminated	uncontaminated	CL1	male	13.47	18.05	ApodemusSylvaticus	Chernobyl
KC32	0.3	uncontaminatedcontrol	uncontaminated	LS	female	13.58	25.64	ApodemusSylvaticus	Chernobyl
KC34	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.78	26.01	ApodemusSylvaticus	Chernobyl
KC38	0.3	uncontaminatedcontrol	uncontaminated	LS	female	13.59	18.35	ApodemusSylvaticus	Chernobyl
